,SKU,code,brands,quantity,status,user_ID,frequency_in_weeks,starts,next_delivery,last_edit,creation_date
87,TapTW1120,66,Taste of the Wild,1,active,207,5,2023-05-06,2023-06-10,2023-05-05,2022-04-19
88,PupPP1410,67,Purina - Purina Pro Plan,1,active,427,4,2023-04-28,2023-05-26,2023-04-20,2022-04-19
89,TapTW1124,68,Taste of the Wild - Taste Of The Wild Ancient Grains,1,paused,428,4,2022-07-12,2023-05-16,2022-06-20,2022-04-19
90,BagBA2382,70,Balance,1,paused,293,5,2022-04-22,2023-05-12,2022-05-22,2022-04-22
91,NupNS1323,71,NutriSource,2,paused,441,8,2022-04-22,2023-05-19,2022-04-26,2022-04-22
92,NupNS1291,72,NutriSource,2,active,445,7,2023-04-28,2023-06-16,2023-04-12,2022-04-23
93,NupNS3275,73,NutriSource,1,paused,449,4,2022-04-23,2023-05-20,2022-05-02,2022-04-23
94,NugNS2305,73,NutriSource,1,paused,449,4,2022-04-23,2023-05-20,2022-05-02,2022-04-23
95,BapBA1354,74,Balance,1,paused,69,1,2022-04-26,2023-05-09,2022-04-26,2022-04-26
96,NupNS3275,76,NutriSource,1,paused,472,12,2022-04-28,2023-06-22,2022-05-14,2022-04-28
97,TapTW1134,77,Taste of the Wild,1,paused,480,6,2023-02-17,2023-05-12,2023-01-27,2022-04-30
98,VipVB2021,77,Virbac,1,paused,480,6,2023-02-17,2023-05-12,2023-01-27,2022-04-30
99,VipVB2022,77,Virbac,1,paused,480,6,2023-02-17,2023-05-12,2023-01-27,2022-04-30
100,1spFC1803,78,1st Choice,1,active,483,4,2023-04-21,2023-05-19,2023-04-15,2022-04-30
101,NaAAl21171,78,Natural Pets,2,active,483,4,2023-04-21,2023-05-19,2023-04-15,2022-04-30
102,DipDN1161,79,Diamond Naturals - Diamond,1,paused,466,12,2022-06-14,2023-05-16,2022-06-08,2022-04-30
103,TapTW1145,80,Taste of the Wild - Taste Of The Wild Ancient Grains,2,active,493,4,2023-04-05,2023-05-31,2023-04-05,2022-05-04
104,PepPSA1810,81,Petlife,10,paused,392,4,2022-05-04,2023-05-31,2022-05-19,2022-05-04
105,MPpMP11713,82,M Pets,1,active,512,3,2023-04-13,2023-05-25,2023-04-12,2022-05-08
106,NupNS2273,82,NutriSource,1,active,512,3,2023-04-13,2023-05-25,2023-04-12,2022-05-08
107,BapBA2350,83,Balance,2,paused,519,4,2022-07-09,2023-05-13,2022-07-08,2022-05-09
108,NupNS3289,85,NutriSource,2,paused,527,2,2022-05-10,2023-05-09,2022-05-23,2022-05-10
109,ScpSD11490,86,Hills Prescription Diet - Hills,1,paused,193,4,2022-07-05,2023-05-09,2022-08-02,2022-05-11
110,NugNS2308,87,NutriSource,1,active,554,6,2023-05-04,2023-06-15,2023-04-27,2022-05-14
111,NupNS5334,88,NutriSource,1,active,530,3,2023-05-10,2023-05-10,2023-05-03,2022-05-15
112,NupNS1323,88,NutriSource,1,active,530,3,2023-05-10,2023-05-10,2023-05-03,2022-05-15
113,BapBA1385,90,Balance,1,active,571,6,2023-04-13,2023-05-25,2023-04-13,2022-05-17
114,1spFC3816,90,1st Choice,1,active,571,6,2023-04-13,2023-05-25,2023-04-13,2022-05-17
115,no_SKU,91,,1,paused,573,12,2022-09-06,2023-05-16,2022-09-21,2022-05-17
116,NOgCL1772,93,Canada Litter,1,paused,293,5,2022-08-26,2023-06-02,2022-06-22,2022-05-22
117,NupNS5333,95,NutriSource,2,paused,439,4,2022-05-25,2023-05-24,2023-02-18,2022-05-25
118,PupPP1409,97,Purina - Purina Pro Plan,1,paused,263,4,2022-05-27,2023-05-26,2022-05-27,2022-05-27
119,PupPP3425,98,Purina - Purina Pro Plan,1,paused,533,2,2022-06-27,2023-05-15,2022-07-08,2022-05-29
120,ScpSD31527,99,Hills Science Diet - Hills,1,paused,660,6,2022-05-31,2023-06-13,2022-07-11,2022-05-31
121,NupNS2284,101,NutriSource,1,paused,665,5,2022-07-15,2023-05-26,2022-07-12,2022-06-01
122,PupPP1410,102,Purina - Purina Pro Plan,1,active,294,4,2023-05-22,2023-05-22,2023-04-23,2022-06-01
123,1sgFC3787,103,1st Choice,1,paused,254,8,2022-09-23,2023-06-30,2022-08-18,2022-06-01
124,PupCH331,104,Purina - Dog Chow,1,active,200,4,2023-04-30,2023-05-28,2023-03-29,2022-06-03
125,ScgSD31495,105,Hills Prescription Diet - Hills,1,paused,681,5,2023-04-12,2023-05-17,2023-03-20,2022-06-04
126,DipDN3171,109,Diamond Naturals - Diamond,1,active,688,5,2023-05-10,2023-05-10,2023-05-02,2022-06-05
127,NupNS2278,110,NutriSource,1,active,527,4,2023-05-02,2023-05-30,2023-04-21,2022-06-06
128,NupNS2317,110,NutriSource,1,active,527,4,2023-05-02,2023-05-30,2023-04-21,2022-06-06
129,NOgCL1767,111,Canada Litter,1,paused,475,10,2022-06-06,2023-05-22,2022-07-26,2022-06-06
130,1spFC1803,115,1st Choice,1,active,703,12,2023-06-30,2023-06-30,2023-03-07,2022-06-08
131,ScgSD41493,116,Hills Prescription Diet - Hills,1,paused,301,8,2022-09-29,2023-05-11,2022-09-25,2022-06-08
132,ScgSD31495,116,Hills Prescription Diet - Hills,1,paused,301,8,2022-09-29,2023-05-11,2022-09-25,2022-06-08
133,BapBA1385,117,Balance,1,active,685,5,2023-06-30,2023-06-30,2023-03-30,2022-06-08
134,OlpOPA1818,118,Old Prince,1,active,710,4,2023-04-26,2023-05-24,2023-04-24,2022-06-08
135,NupNS1323,119,NutriSource,1,active,713,4,2023-02-11,2023-06-03,2023-02-08,2022-06-08
136,NepNX1995,120,NexGard,1,paused,715,12,2022-06-09,2023-05-11,2022-08-03,2022-06-09
137,CapCD11698,122,Cat And Dog Company,1,paused,457,4,2022-06-09,2023-05-11,2022-07-06,2022-06-10
138,DipDi1187,122,Diamond,1,paused,457,4,2022-06-09,2023-05-11,2022-07-06,2022-06-10
139,BapBA1368,123,Balance,1,active,121,4,2023-04-17,2023-05-15,2023-04-15,2022-06-10
140,DipDN1161,124,Diamond Naturals - Diamond,2,active,722,12,2023-06-02,2023-06-02,2023-04-25,2022-06-10
141,WapWD51886,125,Waldo,1,paused,466,12,2022-06-11,2023-05-13,2022-06-16,2022-06-12
142,ArpAT11032,126,Artri-Tabs,1,paused,700,8,2022-06-13,2023-05-15,2022-08-07,2022-06-12
143,NepNX1995,126,NexGard,1,paused,700,8,2022-06-13,2023-05-15,2022-08-07,2022-06-12
144,BapBA1352,127,Balance,1,active,423,7,2023-03-31,2023-05-19,2023-03-30,2022-06-13
145,ScpSD41436,129,Hills Prescription Diet - Hills,1,paused,254,4,2022-06-14,2023-05-16,2022-08-18,2022-06-15
146,PupPP1406,130,Purina - Purina Pro Plan,1,active,744,8,2023-04-12,2023-06-07,2023-04-12,2022-06-15
147,NupNS3275,131,NutriSource,1,paused,176,6,2022-07-27,2023-05-17,2022-07-19,2022-06-16
148,PugFX6105,131,Purina - Felix,2,paused,176,6,2022-07-27,2023-05-17,2022-07-19,2022-06-16
149,PugFX6106,131,Purina - Felix,2,paused,176,6,2022-07-27,2023-05-17,2022-07-19,2022-06-16
150,no_SKU,131,,2,paused,176,6,2022-07-27,2023-05-17,2022-07-19,2022-06-16
151,PugFX6110,131,Purina - Felix,2,paused,176,6,2022-07-27,2023-05-17,2022-07-19,2022-06-16
