Proveedor,Pets,Categoría,Marca,SKU,Nombre de producto,DIC,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC.1,ENE.1,FEB.1,MAR.1,TOTAL GENERAL,Ventas Prom x Mes,Pronostico Abril,Ventas Abr,Promedio ultimos 3 meses,Time meses en inventario,TOTAL AS,AUTOSHIPS (ACTIVOS-15 DÍAS),AUTOSHIPS (ACTIVOS-30 DÍAS),SAFETY STOCK,STOCK Actual,STOCK- safety stock,Tipo de producto,Cantidades a Ordenar,inventario total
nan,nan,nan,nan,PugFF4102,NA,0.0,0.0,0.0,0,0,0,0,5,4,2,4,3,0,0,0,0,18,0.6,0.75,0,0.0,NA,0,0,0,0.26249999999999996,0.0,0.0, ,NA,0.0
Corpeco,dos,Farmacia,Calox,CadMe2146,Loratadina 10mg - Tableta,0.0,0.0,0.0,0,0,0,0,0,1,10,2,0,16,0,0,0,29,3.2,4.0,0,0.0,NA,0,0,0,1.4,1.0,0.0,DB,NA,1.0
nan,nan,nan,nan,PEpPg5218,NA,NA,2.0,NA,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0.0,0.0,0,0.0,NA,0,0,0,0.0,0.0,0.0, ,NA,0.0
Repagro,gato,Higiene,Canada Litter,NOgCL1772,"Arena Aroma Talco para Bebé - 18, kg",NA,NA,2.0,2,0,3,0,1,6,0,1,5,11,6,5,4,46,6.2,7.75,3,4.0,1.25,5,0,5,2.7125,5.0,0.0,AA,NA,5.0
Yanyunis,gato,Alimento,PREY,TagPR3158,"Prey Angus Cats (Carne de Res Angus) - 3, kg",NA,2.0,1.0,0,0,2,0,0,2,0,1,0,3,0,0,0,11,0.6,0.75,1,0.3333333333333333,0.0,1,0,0,0.26249999999999996,0.0,0.0,CC,NA,0.0
BELINA,perro,Alimento,NutriSource,NupNS1277,"Chicken And Rice Adulto - 13.6, kg",0.0,0.0,0.0,0,1,0,3,2,2,1,1,0,4,2,1,4,21,2.2,2.75,3,2.6666666666666665,1.875,4,2,1,2.9625,5.0,0.0,AB,0.0,5.0
nan,nan,nan,nan,PugFF4100,NA,0.0,0.0,0.0,0,0,0,0,5,6,3,1,2,9,27,0,0,53,7.6,9.5,0,0.0,NA,0,0,0,3.3249999999999997,0.0,0.0, ,NA,0.0
Herrera & Elizondo,gato,Alimento,1st CHOICE,1sgFC3787,"Gatito Inicio Saludable - 2.72, kg",NA,2.0,NA,1,0,1,2,3,1,1,1,0,0,1,0,0,13,0.2,0.25,1,0.3333333333333333,6.0,1,0,0,0.0875,2.0,0.0,CC,NA,2.0
BELINA,perro,Alimento,NutriSource,NupNS5276,"Treats Skin and Coat - 179, g",1.0,1.0,4.0,2,0,0,1,0,2,0,2,1,3,3,5,3,28,3.0,3.75,2,3.3333333333333335,0.3,1,1,0,2.3125,1.0,0.0,DB,6.0,7.0
BELINA,perro,Alimento,NutriSource,NupNS3274,"Weight Management (Control de Peso) - 2.27, kg",0.0,0.0,0.0,0,0,4,1,3,1,2,1,1,1,3,1,1,19,1.4,1.75,2,1.3333333333333333,2.25,1,1,0,1.6124999999999998,3.0,0.0,CB,0.0,3.0
EnPaleta,perro,Alimento,Moka Treats,MoPMTA2015,Mantequilla de Mani para Perros - 2 Unidades,0.0,0.0,0.0,0,0,1,1,4,2,3,2,2,3,1,1,0,20,1.4,1.75,4,1.6666666666666667,1.7999999999999998,1,0,1,0.6124999999999999,3.0,0.0,CB,NA,3.0
