Proveedor,Pets,Categoría,Marca,SKU,Nombre de producto,DIC,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC.1,ENE.1,FEB.1,MAR.1,TOTAL GENERAL,Ventas Prom x Mes,Pronostico Abril,Ventas Abr,Promedio ultimos 3 meses,Time meses en inventario,TOTAL AS,AUTOSHIPS (ACTIVOS-15 DÍAS),AUTOSHIPS (ACTIVOS-30 DÍAS),SAFETY STOCK,STOCK Actual,STOCK- safety stock,Tipo de producto,Cantidades a Ordenar,inventario total
Full Pets,perro,Higiene,Tropiclean,TrTC11847,"Talco Neutralizador Para Bebé Perros Y Gatos - 236, ml",0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0.4,0.5,1,0.3333333333333333,0.0,0,0,0,0.175,0.0,0.0,DD,NA,0.0
nan,nan,nan,nan,PapPW91376,NA,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,NA,0,0,0,0.0,1.0,0.0, ,NA,1.0
nan,nan,nan,nan,PapPW91381,NA,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,NA,0,0,0,0.0,1.0,0.0, ,NA,1.0
nan,nan,nan,nan,PapPW91407,NA,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,NA,0,0,0,0.0,1.0,0.0, ,NA,1.0
nan,nan,nan,nan,#N/D,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,NA,0,0,0,0.0,NA,0.0, ,NA,NA
Full Pets,perro,Higiene,Tropiclean,TrTC11849,"Limpiador De Oídos De Doble Acción Para Perros Y Gatos - 118, ml",0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,1,1,0,1,4,0.6,0.75,0,0.3333333333333333,3.0,0,0,0,0.26249999999999996,1.0,0.0,DD,NA,1.0
nan,nan,nan,nan,DrpDZ11021,NA,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,NA,0,0,0,0.0,0.0,0.0, ,NA,0.0
nan,nan,nan,nan,PapPW1741,NA,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,NA,0,0,0,0.0,1.0,0.0, ,NA,1.0
nan,nan,nan,nan,PapPW91388,NA,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,NA,0,0,0,0.0,1.0,0.0, ,NA,1.0
nan,nan,nan,nan,PapPW91391,NA,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,NA,0,0,0,0.0,1.0,0.0, ,NA,1.0
nan,nan,nan,nan,PapPW91393,NA,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,NA,0,0,0,0.0,1.0,0.0, ,NA,1.0
nan,nan,nan,nan,PapPW91398,NA,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,NA,0,0,0,0.0,1.0,0.0, ,NA,1.0
nan,nan,nan,nan,PapPW91416,NA,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,NA,0,0,0,0.0,1.0,0.0, ,NA,1.0
Mundo Pet,gato,Accesorios,MPets,MPgMP91014Ne,Collar Diamantes Para Gato - Negro,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.2,0.25,0,0.0,NA,0,0,0,0.0875,0.0,0.0,DD,NA,0.0
nan,nan,nan,nan,ZepZDA1759,NA,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,NA,0,0,0,0.0,0.0,0.0, ,NA,0.0
DogHood,perro,Accesorios,ZeeDog,ZepZDA1795,Roy - Unica,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,NA,0,0,0,0.0,1.0,0.0,DD,0.0,1.0
nan,nan,nan,nan,ChpCI81243,NA,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,NA,0,0,0,0.0,2.0,0.0, ,NA,2.0
nan,nan,nan,nan,ZepZDA1729,NA,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,NA,0,0,0,0.0,0.0,0.0, ,NA,0.0
nan,nan,nan,nan,ChpClA1724,NA,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,NA,0,0,0,0.0,0.0,0.0, ,NA,0.0
nan,nan,nan,nan, TapTW2142,NA,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,NA,0,0,0,0.0,NA,0.0, ,NA,NA
nan,nan,nan,nan,PepPEA1804,"Capsulas Coadyuvante Hepático - 30, Unidades",0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,3,0,1,4,0.8,1.0,0,0.3333333333333333,0.0,0,0,0,0.35,0.0,0.0, ,NA,0.0
nan,nan,nan,nan,ZipZP1467,NA,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,NA,0,0,0,0.0,0.0,0.0, ,NA,0.0
Full Pets,perro,Accesorios,Snug Arooz,SnSZ81861,Sheldon - Tortuga - Unica,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,NA,0,0,0,0.0,1.0,0.0,DD,NA,1.0
Nestle,gato,Alimento,Cat Chow,PugCH19,"Adultos Deli Mix (Salmon, Carne y Pollo) - 15, kg",0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,0.3333333333333333,3.0,0,0,0,0.0,1.0,0.0,DD,NA,1.0
nan,nan,nan,nan,ZepZDA1761,NA,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,NA,0,0,0,0.0,2.0,0.0, ,NA,2.0
TechnoVet,perro,Alimento,Petlife,PepPEA1799,"Capsulas Coadyuvante Sistema Inmune - 30, Unidades",0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,0.3333333333333333,9.0,0,0,0,0.0,3.0,0.0,DD,NA,3.0
BELINA,perro,Alimento,Balance,BapBA1367,"Puppy Raza Pequeña - 14.97, kg",0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.2,0.25,0,0.3333333333333333,3.0,0,0,0,0.0875,1.0,0.0,DD,0.0,1.0
nan,nan,nan,nan,PapPW91431,NA,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,NA,0,0,0,0.0,1.0,0.0, ,NA,1.0
nan,nan,nan,nan,PapPW91447,NA,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,NA,0,0,0,0.0,1.0,0.0, ,NA,1.0
Mundo Pet,gato,Accesorios,MPets,MPgMP8373Ros,Varilla Para Gato Butterfly - Rosado,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.2,0.25,0,0.0,NA,0,0,0,0.0875,0.0,0.0,DD,NA,0.0
nan,nan,nan,nan,TapPR1152,NA,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,NA,0,0,0,0.0,0.0,0.0, ,NA,0.0
nan,nan,nan,nan,TapPR1154,NA,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,NA,0,0,0,0.0,0.0,0.0, ,NA,0.0
nan,nan,nan,nan,WHgWK3242,NA,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,NA,0,0,0,0.0,0.0,0.0, ,NA,0.0
nan,nan,nan,nan,BapBA3348,NA,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,NA,0,0,0,0.0,0.0,0.0, ,NA,0.0
nan,nan,nan,nan,InpIT2852,NA,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,NA,0,0,0,0.0,0.0,0.0, ,NA,0.0
Herrera & Elizondo,gato,Farmacia,QualiVet,QugQV11028,"Energy-Pet - 60, tab",0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,NA,0,0,0,0.0,0.0,0.0,DD,NA,0.0
nan,nan,nan,nan,EApPlacaHCa,NA,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,NA,0,0,0,0.0,0.0,0.0, ,NA,0.0
Mundo Pet,gato,Accesorios,MPets,MPgMP5708,Pala Large - Unica,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0.4,0.5,1,0.6666666666666666,1.5,0,0,0,0.175,1.0,0.0,DD,NA,1.0
nan,nan,nan,nan,PapPW91404,NA,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,NA,0,0,0,0.0,0.0,0.0, ,NA,0.0
Nestle,perro,Alimento,Dog Chow,PupCH685,"Alimento Húmedo Cachorros Pollo - 100, g",0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,11,8,19,3.8,4.75,0,6.333333333333333,2.210526315789474,0,0,0,1.6624999999999999,14.0,0.0,DC,NA,14.0
DogHood,perro,Accesorios,ZeeDog,ZepZDA1788,Zee Mat Grey - Unica,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0.4,0.5,0,0.3333333333333333,3.0,0,0,0,0.175,1.0,0.0,DD,0.0,1.0
nan,nan,nan,nan,NupNS1313,NA,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,NA,0,0,0,0.0,0.0,0.0, ,NA,0.0
nan,nan,nan,nan,PapPW91408,NA,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,NA,0,0,0,0.0,2.0,0.0, ,NA,2.0
nan,nan,nan,nan,ChpClA1725,NA,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,NA,0,0,0,0.0,1.0,0.0, ,NA,1.0
nan,nan,nan,nan,PapPW91406,NA,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,NA,0,0,0,0.0,2.0,0.0, ,NA,2.0
Full Pets,perro,Higiene,Tropiclean,TrTC11852,"Toallas Húmedas para los Oídos - 50, Unidades",0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0.4,0.5,0,0.3333333333333333,3.0,0,0,0,0.175,1.0,0.0,DD,NA,1.0
nan,nan,nan,nan,MPpMP11527,NA,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,NA,0,0,0,0.0,0.0,0.0, ,NA,0.0
DogHood,perro,Accesorios,ZeeDog,ZepZDA1785,Go Bowl Pink - Large,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,NA,0,0,0,0.0,6.0,0.0,DD,0.0,6.0
BELINA,perro,Alimento,NutriSource,NupNS3315,"Grain Free Lamb Meal And Peas (Cordero y Guisantes) - 2.27, kg",0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,1,2,4,0.8,1.0,0,1.0,3.0,0,0,0,0.35,3.0,0.0,DD,0.0,3.0
nan,nan,nan,nan,ZepZDA1740,NA,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,NA,0,0,0,0.0,1.0,0.0, ,NA,1.0
nan,nan,nan,nan,ZepZDA1727,NA,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,NA,0,0,0,0.0,1.0,0.0, ,NA,1.0
nan,nan,nan,nan,TapTW3141,NA,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,NA,0,0,0,0.0,0.0,0.0, ,NA,0.0
nan,nan,nan,nan,TapTW1143,NA,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,NA,0,0,0,0.0,0.0,0.0, ,NA,0.0
nan,nan,nan,nan,RopRC31430,NA,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,NA,0,0,0,0.0,0.0,0.0, ,NA,0.0
nan,nan,nan,nan,RopRC31431,NA,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,NA,0,0,0,0.0,0.0,0.0, ,NA,0.0
Suplidora Royal,gato,Alimento,Royal Canin,RogRC31345,"Gatos Adultos Indoor - 2, kg",0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.2,0.25,0,0.0,NA,0,0,0,0.0875,0.0,0.0,DD,NA,0.0
Full Pets,perro,Higiene,Tropiclean,TrTC11846,"Removedor De Nudos - 473, ml",0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0.2,0.25,0,0.3333333333333333,3.0,0,0,0,0.0875,1.0,0.0,DD,NA,1.0
Mundo Pet,perro,Alimento,Natural Wild,NapNW51538,Hueso Natural - 9-10,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.2,0.25,0,0.3333333333333333,3.0,0,0,0,0.0875,1.0,0.0,DD,NA,1.0
Full Pets,perro,Higiene,Tropiclean,TrTC11836,"Aditivo Para Agua Contra Mal Aliento + Caderas y Articulaciones - 473, ml",0.0,0.0,0.0,0,0,0,0,0,1,0,0,1,1,0,0,1,4,0.6,0.75,0,0.3333333333333333,3.0,0,0,0,0.26249999999999996,1.0,0.0,DD,NA,1.0
nan,nan,nan,nan,OlpOP21814,NA,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,NA,0,0,0,0.0,NA,0.0, ,NA,NA
nan,nan,nan,nan,PapPW91409,NA,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,NA,0,0,0,0.0,1.0,0.0, ,NA,1.0
nan,nan,nan,nan,RupRW91149,NA,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,NA,0,0,0,0.0,0.0,0.0, ,NA,0.0
nan,nan,nan,nan,SnSZ81868,NA,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,NA,0,0,0,0.0,0.0,0.0, ,NA,0.0
Full Pets,perro,Higiene,Tropiclean,TrTC11842,"Champú  Resaltador De Colores De Awapuhi y Coco. - 355, ml",0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.2,0.25,0,0.0,NA,0,0,0,0.0875,1.0,0.0,DD,NA,1.0
Full Pets,perro,Higiene,Tropiclean,TrTC11850,"Toallas Húmedas Frutos Rojos - 100, Unidades",0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,0.6,0.75,0,0.6666666666666666,1.5,0,0,0,0.26249999999999996,1.0,0.0,DD,NA,1.0
nan,nan,nan,nan,PapPW91445,NA,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,NA,0,0,0,0.0,1.0,0.0, ,NA,1.0
nan,nan,nan,nan,PegPL2724,NA,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,NA,0,0,0,0.0,0.0,0.0, ,NA,0.0
nan,nan,nan,nan,PugCH18,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,NA,0,0,0,0.0,0.0,0.0, ,NA,0.0
nan,nan,nan,nan,NupNS1299,NA,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,NA,0,0,0,0.0,0.0,0.0, ,NA,0.0
BELINA,perro,Alimento,NutriSource,NupNS3301,"Trout And Rice (Trucha y Arroz) - 2.27, kg",0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,2,0,0,1,4,0.8,1.0,1,0.6666666666666666,4.5,1,1,0,1.35,3.0,0.0,DD,0.0,3.0
nan,nan,nan,nan,NupNS1302,NA,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,NA,0,0,0,0.0,0.0,0.0, ,NA,0.0
nan,nan,nan,nan,BapBA3341,NA,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,NA,0,0,0,0.0,0.0,0.0, ,NA,0.0
Mundo Pet,perro,Higiene,MPets,MPpMP11517,Cortauñas Grande - Unica,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.2,0.25,0,0.3333333333333333,6.0,0,0,0,0.0875,2.0,0.0,DD,NA,2.0
Mundo Pet,perro,Higiene,MPets,MPpMP11518,Cepillo Regular - Unica,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0.4,0.5,0,0.0,NA,0,0,0,0.175,1.0,0.0,DD,NA,1.0
Mundo Pet,perro,Higiene,MPets,MPpMP11521,Slicker Universal Mediano - Unica,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,NA,0,0,0,0.0,2.0,0.0,DD,NA,2.0
nan,nan,nan,nan,MPpMP11530,NA,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,NA,0,0,0,0.0,0.0,0.0, ,NA,0.0
Mundo Pet,gato,Accesorios,MPets,MPgMP9375,"Catnip SPray - 4, oz",0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,NA,0,0,0,0.0,0.0,0.0,DD,NA,0.0
Mundo Pet,gato,Accesorios,MPets,MPgMP5441,Arenera Menphis Con Borde Mediano - Unica,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,NA,0,0,0,0.0,0.0,0.0,DD,NA,0.0
Mundo Pet,gato,Accesorios,MPets,MPgMP8384Ce,Juguete Gato Herby Catnip - Celeste,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.2,0.25,0,0.0,NA,0,0,0,0.0875,1.0,0.0,DD,NA,1.0
nan,nan,nan,nan,RopRC21302,NA,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,NA,0,0,0,0.0,0.0,0.0, ,NA,0.0
nan,nan,nan,nan,RupRW91121,NA,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,NA,0,0,0,0.0,0.0,0.0, ,NA,0.0
nan,nan,nan,nan,RupRW91129,NA,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,NA,0,0,0,0.0,0.0,0.0, ,NA,0.0
nan,nan,nan,nan,ZepZDA1748,NA,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,NA,0,0,0,0.0,1.0,0.0, ,NA,1.0
nan,nan,nan,nan,ZepZDA1756,NA,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,NA,0,0,0,0.0,1.0,0.0, ,NA,1.0
nan,nan,nan,nan,ZepZDA1749,NA,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,NA,0,0,0,0.0,1.0,0.0, ,NA,1.0
Mundo Pet,gato,Accesorios,MPets,MPgMP8383Ro,Juguete Gato Herby Catnip - Rojo,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.2,0.25,0,0.3333333333333333,3.0,0,0,0,0.0875,1.0,0.0,DD,NA,1.0
nan,nan,nan,nan,ZepZDA1768,NA,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,NA,0,0,0,0.0,1.0,0.0, ,NA,1.0
nan,nan,nan,nan,OlpOP21816,NA,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,NA,0,0,0,0.0,NA,0.0, ,NA,NA
nan,nan,nan,nan,RupRW91146,NA,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,NA,0,0,0,0.0,0.0,0.0, ,NA,0.0
nan,nan,nan,nan,RupRW91154,NA,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,NA,0,0,0,0.0,0.0,0.0, ,NA,0.0
nan,nan,nan,nan,RupRW91130,NA,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,NA,0,0,0,0.0,0.0,0.0, ,NA,0.0
nan,nan,nan,nan,RupRW91138,NA,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,NA,0,0,0,0.0,0.0,0.0, ,NA,0.0
nan,nan,nan,nan,ZepZDA1764,NA,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,NA,0,0,0,0.0,1.0,0.0, ,NA,1.0
nan,nan,nan,nan,ZepZDA1769,NA,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,NA,0,0,0,0.0,3.0,0.0, ,NA,3.0
nan,nan,nan,nan,ZepZDA1765,NA,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,NA,0,0,0,0.0,1.0,0.0, ,NA,1.0
nan,nan,nan,nan,ZepZDA1741,NA,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,NA,0,0,0,0.0,1.0,0.0, ,NA,1.0
nan,nan,nan,nan,RupRW91157,NA,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,NA,0,0,0,0.0,0.0,0.0, ,NA,0.0
Full Pets,perro,Accesorios,Snug Arooz,SnSZ81865,Unicornio Dab - Unica,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,NA,0,0,0,0.0,1.0,0.0,DD,NA,1.0
Mundo Pet,gato,Accesorios,MPets,MPgMP8383Ros,Juguete Ratón - Rosado,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.2,0.25,0,0.0,NA,0,0,0,0.0875,0.0,0.0,DD,NA,0.0
nan,nan,nan,nan,ZipZP1465,NA,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,NA,0,0,0,0.0,0.0,0.0, ,NA,0.0
nan,nan,nan,nan,FlFTA1828,NA,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,NA,0,0,0,0.0,2.0,0.0, ,NA,2.0
nan,nan,nan,nan,TapTW1121,NA,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,NA,0,0,0,0.0,0.0,0.0, ,NA,0.0
nan,nan,nan,nan,TapTW3138,NA,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,NA,0,0,0,0.0,0.0,0.0, ,NA,0.0
Yanyunis,perro,Alimento,Taste Of the Wild,TapTW3144,"Tow Ancient Prairie (Bisonte Asado y Venado Asado) - 2.27, kg",0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0.4,0.5,0,0.3333333333333333,9.0,0,0,0,0.175,3.0,0.0,DD,NA,3.0
nan,nan,nan,nan,PEpPg3229,NA,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,NA,0,0,0,0.0,0.0,0.0, ,NA,0.0
nan,nan,nan,nan,RupRW91148,NA,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,NA,0,0,0,0.0,0.0,0.0, ,NA,0.0
nan,nan,nan,nan,PapPW91369,NA,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,NA,0,0,0,0.0,1.0,0.0, ,NA,1.0
nan,nan,nan,nan,PapPW91383,NA,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,NA,0,0,0,0.0,1.0,0.0, ,NA,1.0
nan,nan,nan,nan,PapPW91418,NA,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,NA,0,0,0,0.0,1.0,0.0, ,NA,1.0
nan,nan,nan,nan,PapPW91435,NA,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,NA,0,0,0,0.0,1.0,0.0, ,NA,1.0
nan,nan,nan,nan,PapPW91439,NA,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,NA,0,0,0,0.0,1.0,0.0, ,NA,1.0
nan,nan,nan,nan,TapTW2139,NA,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,NA,0,0,0,0.0,0.0,0.0, ,NA,0.0
nan,nan,nan,nan,TapTW3148,NA,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,NA,0,0,0,0.0,0.0,0.0, ,NA,0.0
nan,nan,nan,nan,RupRW91147,NA,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,NA,0,0,0,0.0,0.0,0.0, ,NA,0.0
nan,nan,nan,nan,RupRW91155,NA,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,NA,0,0,0,0.0,0.0,0.0, ,NA,0.0
nan,nan,nan,nan,RogRC31339,NA,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,NA,0,0,0,0.0,0.0,0.0, ,NA,0.0
Suplidora Royal,gato,Alimento,Royal Canin,RogRC31340,"Persa Adulto - 4, kg",0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.2,0.25,0,0.0,NA,1,1,0,1.0875,0.0,0.0,DD,NA,0.0
nan,nan,nan,nan,RogRC31331,NA,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,NA,0,0,0,0.0,0.0,0.0, ,NA,0.0
